place_id,name,rating,kategori,htm,latitude,longitude,deskripsi
30,Agro Tourism Bhumi Merapi,4.5,Agrowisata,30000,-76400756,1104264098,agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi
56,Kebun Teh Nglinggo,4.5,Agrowisata,10000,-7647054,1101414699,wisata kebun teh nglinggo adalah satu satunya kebun teh yang berada di yogyakarta sebenarnya kebun teh ini merupakan tempat mata pencaharian penduduk di sekitar pagerhajo kemudian warga mempunyai ide untuk menjadikannya sebagai tempat wisata dengan pesona alamnya kebun teh nglinggo menjadi objek wisata yang cukup terkenal di kulon progo
82,Kebun Buah Mangunan,4.5,Agrowisata,6000,-7939896,110424336,kebun buah mangunan adalah salah satu tempat wisata di kawasan mangunan dlingo kabupaten bantul yogyakarta kawasan wisata yang terkenal sebagai salah satu spot negeri di atas awan ini terletak sekitar kilometer km dari kota yogyakarta dengan waktu tempuh kurang lebih satu jam perjalanan kebun buah mangunan bisa jadi alternatif tempat wisata bersama keluarga di akhir pekan
87,Puncak Kebun Buah Mangunan,4.6,Agrowisata,8000,-79413718,1104247345,objek wisata ini menawarkan keindahan berupa panorama alam dataran tinggi yang hijau dan masih sangat alami selain itu dari sana kamu juga bisa menikmati landscape kota bantul dengan segala rutinitas penduduknya landscape yang sangat cantik dan mempesona dari kawasan wisata ini kamu juga bisa menyaksikan gagahnya gunung sewu yang berada di seberang beberapa tanaman yang bisa kamu amati dan pelajari yakni pohon rambutan durian manggis jeruk mangga pohon pinus king grass atau rumput raja salak magium duku sawo cempedak jambu biji dan masih banyak yang lainnya disana wisatawan dapat berburu aneka buah buahan camping melihat watu tumpang yaitu batu besar yang menumpang di atas batu kecil memancing bersepeda berenang belajar pembibitan sapi flying fox
90,Museum Factory Dan Kedai Chocolate Monggo,4.6,Agrowisata,15000,-78408737,110298431,disini wisatawan dapat belajar mengenai budaya dan sejarah cokelat melihat langsung pembuatan cokelat di pabrik dan langsung bisa mempraktekkan membuat cokelat cokelat monggo ini dibuat dari warga negara belgia yang terinspirasi karena rasa rindunya akan rasa cokelat belgia
93,Taman Bunga Amarilis,4.2,Agrowisata,10000,-78563245,1104991167,taman bunga amarlis dapat dikatakan wisata tahunan karena bunga mekar setiap tahun namun jangka mekarnya sangat pendek sehingga pengunjung harus segera datang ketika mekar dan dari tahun ke tahun kondisi taman bunga sudah semakin baik jalan setapak yang sudah rata dengan semen telah disediakan sehingga pengunjung tidak perlu khawatir becek atau kotor karena tanah taman pun telah dibentuk dengan kotak kotak yang membuatnya tampak tertata rapi taman bunga telah dilengkapi dengan jalan setapak yang membantu akses pengunjung lebih dekat dengan bunga jadi angle ketika berfoto lebih terlihat indah taman bunga juga dibentuk sehingga tidak monoton hanya satu lahan seperti sawah
104,Wana Tirta Mangrove Forests,4.1,Agrowisata,3000,-78933459,1100198257,wana tirta mangrove merupakan salah satu tujuan baru terfavorit wisatawan di yogyakarta atau lebih tepatnya di pasirmendit kulon progo awalnya tempat wisata ini dibangun untuk melestarikan alam namun kemudian banyak pengunjung yang menikmati hutan mangrove ini sebagai wisatawan untuk spot foto ada jembatan siapi api atau jembatan bambu ayunan gazebo dan spot lainnya yang di hiasi dengan ornamen bunga selain menikmati pemandangan mangrove pengunjung dapat menikmati tur dengan perahu disekitar area mangrove dan bermain canoe seluruhnya tersedia dengan tambahan biaya dan dilengkapi dengan perlengkapan keamanan
113,Ramadanu flower garden,4.2,Agrowisata,5000,-76478607,1102879467,nama ramadanu tediri dari dua kata yakni rama dan danu rama digunakan karena taman ini dibuka pada bulan ramadan sementara danu dari nama dusun danurojo
185,Village Tourism New Nglepen,4,Agrowisata,5000,-78137377,1105034501,desa wisata unik yang terkenal dengan rumah rumah berbentuk dome hasil relokasi pasca gempa pengunjung bisa belajar mitigasi bencana dan menyaksikan kehidupan warga yang resilien
191,Sukunan Tourism Village,4.4,Agrowisata,0,-77836412,1103364013,desa wisata sukunan adalah salah satu pelopor desa wisata berbasis lingkungan di yogyakarta yang terletak di kecamatan gamping sleman desa ini dikenal karena komitmennya terhadap prinsip ekowisata pengelolaan sampah mandiri dan penerapan gaya hidup ramah lingkungan pengunjung dapat belajar tentang pengolahan limbah membuat kerajinan dari barang bekas serta menikmati suasana pedesaan yang asri dan edukatif cocok untuk wisata edukasi studi lingkungan dan inspirasi gaya hidup berkelanjutan
